DATA,COD_MOEDA,TIPO,MOEDA,TAXA_COMPRA,TAXA_VENDA,PARIDADE_COMPRA,PARIDADE_VENDA
07/11/2022,585,A,SZL,0.2875,0.2876,17.6910,17.6960
07/11/2022,603,A,LSL,0.2874,0.2878,17.6825,17.7025
07/11/2022,608,A,TMT,1.4537,1.4581,3.4900,3.5000
07/11/2022,622,A,MZN,0.07828,0.08046,63.2400,65.0000
07/11/2022,625,A,ERN,0.3358,0.3392,15.0000,15.1500
07/11/2022,630,A,NGN,0.01156,0.01158,439.2600,440.2600
07/11/2022,635,A,AOA,0.01038,0.0106,480.0000,490.0000
07/11/2022,640,A,TWD,0.1588,0.1590,32.0080,32.0380
07/11/2022,642,A,TRY,0.2738,0.2739,18.5797,18.5863
07/11/2022,660,A,PEN,1.2845,1.2936,3.9337,3.9610
07/11/2022,665,A,BTN,0.06213,0.06218,81.8430,81.8980
07/11/2022,670,A,MRO,0.01417,0.01429,356.0000,359.0000
07/11/2022,671,A,MRU,0.1334,0.1347,37.7901,38.1501
07/11/2022,680,B,TOP,2.0861,2.1881,0.4100,0.4300
07/11/2022,685,A,MOP,0.6284,0.6294,8.0850,8.0970
07/11/2022,706,A,ARS,0.03193,0.03194,159.3300,159.3500
07/11/2022,715,A,CLP,0.005542,0.005546,917.6000,918.1000
07/11/2022,720,A,COP,0.0009949,0.000997,5104.0000,5114.0000
07/11/2022,721,B,COU,0.3216,0.3216,0.0632,0.0632
07/11/2022,725,A,CUP,0.2120,0.2120,24.0000,24.0000
07/11/2022,730,A,DOP,0.0932,0.09404,54.1100,54.5900
07/11/2022,735,A,PHP,0.08709,0.08713,58.4000,58.4200
07/11/2022,741,A,MXN,0.2615,0.2617,19.4443,19.4548
07/11/2022,745,A,UYU,0.1275,0.1276,39.8700,39.9000
07/11/2022,755,B,BWP,0.3836,0.3867,0.0754,0.0760
07/11/2022,760,A,MWK,0.004921,0.004994,1018.9500,1033.9500
07/11/2022,766,A,ZMW,0.3116,0.3126,16.2800,16.3300
07/11/2022,770,A,GTQ,0.6490,0.6524,7.8000,7.8400
07/11/2022,775,A,MMK,0.002416,0.00243,2093.7000,2106.3000
07/11/2022,778,B,PGK,1.4068,1.4833,0.2765,0.2915
07/11/2022,779,A,HRK,0.6750,0.6758,7.5292,7.5380
07/11/2022,780,A,LAK,0.0003,0.0003006,16930.0000,16960.0000
07/11/2022,785,A,ZAR,0.2875,0.2878,17.6838,17.6988
07/11/2022,795,A,CNY,0.7035,0.7041,7.2266,7.2326
07/11/2022,796,A,CNH,0.7027,0.7028,7.2401,7.2407
