DATA,COD_MOEDA,TIPO,MOEDA,TAXA_COMPRA,TAXA_VENDA,PARIDADE_COMPRA,PARIDADE_VENDA
08/11/2022,706,A,ARS,0.03239,0.0324,159.71,159.72
08/11/2022,715,A,CLP,0.005765,0.005769,896.9,897.5
08/11/2022,720,A,COP,0.001035,0.001037,4991.07,5000.57
08/11/2022,725,A,CUP,0.2156,0.2156,24.0,24.0
08/11/2022,730,A,DOP,0.09495,0.0958,54.01,54.49
08/11/2022,735,A,PHP,0.08908,0.08912,58.06,58.08
08/11/2022,741,A,MXN,0.2657,0.2659,19.4597,19.4702
08/11/2022,745,A,UYU,0.1296,0.1297,39.9,39.93
08/11/2022,760,A,MWK,0.005016,0.00509,1016.55,1031.55
08/11/2022,766,A,ZMW,0.3168,0.3178,16.28,16.33
08/11/2022,770,A,GTQ,0.6599,0.6634,7.8,7.84
08/11/2022,775,A,MMK,0.002456,0.002471,2093.7,2106.3
08/11/2022,779,A,HRK,0.6913,0.6918,7.4795,7.4845
08/11/2022,780,A,LAK,0.0003051,0.0003056,16930.0,16960.0
08/11/2022,785,A,ZAR,0.2924,0.2927,17.6773,17.6923
08/11/2022,795,A,CNY,0.7136,0.7139,7.2485,7.25
08/11/2022,796,A,CNH,0.7162,0.7164,7.2229,7.2235
08/11/2022,800,A,QAR,1.4093,1.4215,3.64,3.6712
08/11/2022,805,A,OMR,13.435,13.4435,0.3849,0.3851
08/11/2022,810,A,YER,0.02066,0.0207,249.95,250.45
08/11/2022,815,A,IRR,0.0001232,0.0001232,42000.0,42000.0
08/11/2022,820,A,SAR,1.3762,1.3765,3.7592,3.7596
08/11/2022,825,A,KHR,0.001246,0.001252,4133.0,4153.0
08/11/2022,828,A,MYR,1.0917,1.093,4.734,4.739
08/11/2022,830,A,RUB,0.08482,0.0849,60.95,61.0
08/11/2022,831,A,BYN,2.0441,2.0549,2.5181,2.5311
08/11/2022,835,A,TJS,0.5048,0.5098,10.15,10.25
08/11/2022,840,A,MUR,0.1151,0.1159,44.65,44.95
08/11/2022,845,A,NPR,0.03947,0.03948,131.07,131.09
08/11/2022,850,A,SCR,0.3498,0.3685,14.0401,14.7904
08/11/2022,855,A,LKR,0.01414,0.01418,365.0,366.0
08/11/2022,860,A,INR,0.06364,0.06369,81.249,81.304
08/11/2022,865,A,IDR,0.0003295,0.0003297,15695.0,15700.0
08/11/2022,870,A,MVR,0.3338,0.3356,15.42,15.5
08/11/2022,875,A,PKR,0.02331,0.02341,221.0,222.0
08/11/2022,880,A,ILS,1.4628,1.4645,3.5333,3.5369
08/11/2022,892,A,KGS,0.06155,0.0616,83.9981,84.0524
08/11/2022,893,A,UZS,0.0004635,0.000464,11152.04,11162.04
08/11/2022,905,A,BDT,0.05101,0.05106,101.33,101.43
08/11/2022,913,A,KZT,0.01112,0.01113,465.0,465.3
08/11/2022,915,A,MNT,0.001503,0.001535,3371.0,3443.0
08/11/2022,920,A,VUV,0.04206,0.04316,119.9,123.0
08/11/2022,930,A,KRW,0.003768,0.003772,1371.75,1373.07
08/11/2022,946,A,TZS,0.002214,0.002224,2327.0,2337.0
08/11/2022,950,A,KES,0.04248,0.04255,121.6,121.8
08/11/2022,955,A,UGX,0.001367,0.001371,3775.0,3785.0
08/11/2022,960,A,SOS,0.009045,0.009158,565.0,572.0
08/11/2022,975,A,PLN,1.1111,1.113,4.6489,4.6564
08/11/2022,998,A,XAU,285.0579,285.0909,1713.27,0.01815
